,ref,res100,cfe80,cfe85,cfe90,cfe95,cfe98,cfe99,cfe100
ci_average cost,134.0157771141754,81.02031148682283,78.81921870144119,78.81972295030656,78.8183335013,78.82489418197751,79.18405976132378,79.96192785038555,83.63570426279664
ci_average_revenue,0.0,25.43209178048918,28.416355252458427,28.416938902190882,28.415520382604335,28.420230827159465,28.626335680837446,28.347110289932452,24.128892659387787
ci_cap_H2_Electrolysis,0.0,0.0,97.90864503388924,97.91788899177095,97.90022114350342,97.84153612444904,97.36424696266722,102.30680552311588,96.30025983891383
ci_cap_H2_Fuel_Cell,0.0,0.0,40.108502821028544,40.10282636683126,40.118411065093035,40.150328048645285,41.94805577093325,50.34863753411061,93.61888708251358
ci_cap_adv_geothermal,0.0,0.0,0.0006499229062954266,0.0003144950607243144,0.0004697995551651721,0.0046157914067861796,0.0006982440981477902,0.0008588726900101381,0.0013582375073917779
ci_cap_allam_ccs,0.0,0.0,2.106148822884896,2.1422836594357455,2.0567918813490493,3.010596930612252,46.69864187024397,133.78856840409165,373.7165774194935
ci_cap_battery_charger,0.0,0.0,1144.1220397953657,1144.1110307040697,1144.1002047407374,1144.0321326139285,1143.3144624802853,1065.3890911918961,200.0370701305687
ci_cap_battery_discharger,0.0,0.0,1167.714544451463,1167.70330834589,1167.6922591444927,1167.6227833282933,1166.8903143922669,1087.3580737131977,204.16195833680553
ci_cap_onwind,0.0,1747.014760398883,1287.2379700216818,1287.2832471744987,1287.2074225289894,1287.0778782801472,1278.0795444844825,1296.1585956491335,1360.2191583081194
ci_cap_solar,0.0,925.4835960375875,1513.318034104476,1513.294861314654,1513.292061740732,1513.2934675289057,1501.9661792249897,1400.42000875344,943.2757376593947
ci_capital_cost_adv_geothermal,0.0,0.0,523.7494957783734,253.44025865781015,378.59456521881094,3719.700288303906,562.6898064258975,692.134611618305,1094.5547583459968
ci_capital_cost_allam_ccs,0.0,0.0,510793.00428338215,519556.5928392067,498822.72935532586,730143.9642652469,11325571.734376566,32447025.609658703,90635481.81231198
ci_capital_cost_battery_inverter,0.0,0.0,27236244.49020124,27235982.414747987,27235724.69872303,27234104.216795187,27217019.816230092,25361977.792234223,4761955.770167804
ci_capital_cost_battery_storage,0.0,0.0,43566352.10455017,43565925.65429274,43565512.495329075,43562833.82701295,43535601.7730345,40568311.50881678,19764247.86476889
