,ref,res100,cfe80,cfe85,cfe90,cfe95,cfe98,cfe99,cfe100
ci_average cost,81.04679902097338,80.62107210684287,72.83762258759025,79.92518457774351,81.87266292386121,85.511690537219,87.72893152622132,88.82091830099094,92.25020873955646
ci_average_revenue,0.0,17.985098964725193,13.168106411892506,16.730080613306924,14.574179830443821,13.246156827806987,11.495160838351769,10.67119603207749,8.777766649848298
ci_cap_H2_Electrolysis,0.0,0.0,0.0037827857205762756,0.009636429886954434,0.01067328197012474,0.00712580092103247,0.00894239926790352,0.009626097853084974,4.626452829408615
ci_cap_H2_Fuel_Cell,0.0,0.0,0.0010685818383490832,0.0028991183457675344,0.003262833142581381,0.002358190392520977,0.0037294057792825394,0.004741407578074088,15.909742122763609
ci_cap_adv_geothermal,0.0,0.0,0.0004896600765710371,0.00107582264587304,0.0012442456686784938,0.0009994127501235391,0.0014123646065712049,0.0016069601714319751,0.0026360152094128076
ci_cap_allam_ccs,0.0,0.0,0.0007405195682794255,0.0190655424873575,40.633921821411455,85.23229119163759,123.44753920328445,143.73284627029835,185.71357505689045
ci_cap_battery_charger,0.0,0.0,0.01268330186170241,52.791599223149106,59.35802918504297,60.89938471252583,59.37410368806762,55.295025721802915,19.685087225588262
ci_cap_battery_discharger,0.0,0.0,0.012944839396876911,53.8801946763909,60.5820284886272,62.15516772116424,60.59843445785411,56.4352433790329,20.091005908973155
ci_cap_onwind,0.0,798.2746792958717,522.3849777100346,592.6839493743116,567.3388350748762,536.7877564424311,473.1559236747933,449.9332658401621,447.94469125772537
ci_cap_solar,0.0,490.03334341376734,580.4473961028499,785.7669450556417,698.2288272071759,662.5802512895988,627.9890771734454,591.7314984559459,386.4282087881808
ci_capital_cost_adv_geothermal,0.0,0.0,394.59944513835194,866.9667784671608,1002.6928352307746,805.3907915560485,1138.173840899589,1294.9914080130154,2124.2698532716677
ci_capital_cost_allam_ccs,0.0,0.0,189.14237786800243,4869.6917622054125,10378654.291690797,21769901.72532654,31530782.044171676,36712024.213574864,47434677.88466806
ci_capital_cost_battery_inverter,0.0,0.0,403.21448342153565,1678296.2072387089,1887049.3926378102,1936050.5817256104,1887560.4166995266,1757882.5668038349,625808.0398401918
