,ref,res100,cfe80,cfe85,cfe90,cfe95,cfe98,cfe99,cfe100
ci_marginal_cost_solar,0.0,10551.16531848594,11012.930541406431,15061.974565290519,20059.15431174971,28242.09863530046,33695.946022259726,44774.924369873755,40016.54965046963
ci_revenue_grid,0.0,90359931.07750642,90360247.29336078,90360270.41659069,90360279.21975589,90360308.72613078,90370604.78694537,90360330.9327454,90402820.9015003
ci_total_cost,454377020.4754473,388298472.2764123,340029914.71899694,363416130.22344625,397975365.35521644,460804150.22794545,606468156.9093498,728321484.2282131,1195762903.0915344
co2_price,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
emissions,513003627.51744324,511284106.0401097,511413434.04284155,511287037.6365891,511163395.1239805,511045324.81129736,510961327.45829964,510933894.38612545,510904643.7589453
emissions_zone,5.066647983229436,3.4394700522078026,3.5603566037178704,3.4471216090338253,3.3374014734004134,3.239415397520721,3.154928272339237,3.139231799787225,3.1125191197486273
objective,142189467049.1127,142034225548.13467,141985419142.09247,142008943243.60623,142043511789.87085,142106416412.19254,142252085617.33752,142373844637.1032,142841199261.99005
system_emission_rate,0.15982892168407417,0.1592931959137426,0.1593334887189224,0.15929410926772117,0.15925558780626423,0.15921880239238617,0.1591926325845456,0.15918408566965245,0.1591749724861388
system_emissions,171001209.17248076,170428035.34670326,170471144.68094698,170429012.5455299,170387798.37466007,170348441.60376546,170320442.48610017,170311298.12870836,170301547.9196484
system_grid_cfe_wavg,0.4371097012217886,0.5547039463196811,0.5579649192634447,0.5576036977071405,0.5576660932022379,0.5557094375220034,0.5528491435527519,0.5506744715627303,0.5519975262340534
system_inv_H2_Electrolysis-2025,107.71491007253633,108.29600197487628,107.70955643196962,107.5864270371388,107.69837569205534,107.63907012986009,107.55610126243799,107.61182017286077,107.72786130787543
system_inv_H2_Fuel_Cell-2025,22.426344221454066,22.603713426415904,22.427468280003854,22.403838467668965,22.423348228571584,22.41386500342083,22.396066535260257,22.404896578131925,22.43629656823944
system_inv_OCGT-2025,16995.099270480598,16995.011409283485,16995.149324276965,16997.519731922323,16997.5126504697,16997.542795429614,16997.573996163985,16997.5399675211,16997.570763849457
system_inv_battery_charger-2025,1715.0214366357109,1716.1898329862756,1715.0450835301115,1715.074072351529,1714.950262017709,1715.0204501289475,1715.0177856264593,1714.8907337985129,1715.174054345063
system_inv_battery_discharger-2025,1750.3862402333864,1751.5787296399203,1750.410374741386,1750.439961330245,1750.3135979507053,1750.3852333842428,1750.382513938064,1750.2528422227822,1750.5420050143728
system_inv_offwind-ac-2025,542.070323618538,542.3911934678663,542.0539785650665,542.067623063675,542.0475264783414,542.0573490926843,542.0521618965029,542.0401323242509,542.062699859047
system_inv_offwind-dc-2025,34723.073157137645,34723.436209619,34722.67612336183,34722.58814943141,34722.504525496726,34722.56451181367,34722.49846186513,34722.555781518444,34722.68700335641
system_inv_onwind-2025,114405.37547783543,114401.13136536063,114399.17337393471,114365.72028917223,114365.68466835437,114365.76272964675,114365.64385822287,114365.57296865546,114365.9890057979
system_inv_solar-2025,189007.25884774857,189014.13117005004,189016.71520643492,189017.1672700401,189017.1891171977,189017.01925471908,189017.27194895817,189017.3721157414,189016.5256112051
system_inv_solar_rooftop-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zone_average_marginal_price,94.30822342786368,94.11508976160896,94.13338486909068,94.06239262971881,94.03405416082616,94.01012665230968,93.99193475547092,93.95265193334856,93.87846335062977
