,ref,res100,cfe80,cfe85,cfe90,cfe95,cfe98,cfe99,cfe100
ci_average cost,132.2306177982414,81.03480920709269,79.10936845367212,79.10717136537592,79.10640451926453,79.10399480166527,79.44016518669342,80.30841451851046,83.93510611530553
ci_average_revenue,0.0,25.598321695621852,28.93922047824114,28.936769156178315,28.936101740249033,28.934074394212125,29.13509712301879,28.952278155410298,24.469613530583672
ci_cap_H2_Electrolysis,0.0,0.0,35.844012307206306,35.91646645915039,35.86282792088541,35.90766851494051,35.89320624339483,41.24808551866213,38.02557040882382
ci_cap_H2_Fuel_Cell,0.0,0.0,14.647862066266061,14.671330344219927,14.651036617990668,14.666641468485148,15.321084354278803,20.50203523699784,37.38233199585171
ci_cap_adv_geothermal,0.0,0.0,0.0007294257286603391,0.0007728904124396797,0.0006612639539583683,0.0003764871390939908,0.0006081354564443608,0.0009977010584962846,0.001085489301871407
ci_cap_allam_ccs,0.0,0.0,0.10250516777847862,0.1741076636835008,0.07336862269009467,0.12064641843668027,17.433950305726405,49.47730353093016,149.10278197573572
ci_cap_battery_charger,0.0,0.0,475.79941505523965,475.53088084179757,475.633344431015,475.4337788022165,474.8902185748507,448.3644267661188,86.27074659564329
ci_cap_battery_discharger,0.0,0.0,485.61069350685204,485.3366219517099,485.4411984035605,485.2375176079679,484.68274883225763,457.6099787773361,88.0497027908292
ci_cap_onwind,0.0,700.1808098488336,511.56660224794445,511.7278306852868,511.59138495028964,511.6815858264966,509.15020093700963,521.4706183054566,551.3536786927547
ci_cap_solar,0.0,367.3566544792671,617.317136211402,616.9953749260407,617.261534991034,617.071846756271,608.7421383933402,568.1504865268711,379.74989589225885
ci_capital_cost_adv_geothermal,0.0,0.0,587.8179610120839,622.8445864673317,532.8888382104192,303.39744507772184,490.0744928243904,804.0114008344433,874.7567888760358
ci_capital_cost_allam_ccs,0.0,0.0,24860.029849373434,42225.40004549166,17793.69947498506,29259.730300013016,4228162.680826785,11999465.678682381,36161099.882806554
ci_capital_cost_battery_inverter,0.0,0.0,11326579.460926257,11320186.905554628,11322626.088849943,11317875.355913473,11304935.705480436,10673479.509489302,2053706.7418536886
