,ref,res100,cfe80,cfe85,cfe90,cfe95,cfe98,cfe99,cfe100
ci_average cost,115.97699236037107,99.24091324355278,86.86925944832852,86.86922614818985,88.55919956739912,91.53073728447184,94.8749957373441,96.64467293441194,101.8239574768067
ci_average_revenue,0.0,23.538154725909944,22.259278983051395,22.259278033404456,22.300708052105705,22.24623586857376,22.23813373233839,22.2040069123194,22.385428299659733
ci_cap_H2_Electrolysis,0.0,0.0,0.0023467985465569956,0.001744759845678158,0.0015843074753217655,0.002378232743746575,0.0027024495276473932,0.001915698207125982,0.27706942719810707
ci_cap_H2_Fuel_Cell,0.0,0.0,0.0007643406148278713,0.0005745456418070163,0.0005302739172441281,0.0009096233519370316,0.0013188988154466228,0.0011767806663363297,18.256810407680625
ci_cap_adv_geothermal,0.0,0.0,0.0008988478906383048,0.000746746028388002,0.001403149521624329,0.007286071432362586,156.25253507146138,370.684282746023,832.2206333025964
ci_cap_allam_ccs,0.0,0.0,0.0011387342490624397,0.0009000291481441641,196.63807625196245,437.488967074616,509.73678122277744,427.75420561630716,231.94677113646273
ci_cap_battery_charger,0.0,0.0,0.015960035451189583,0.01188466012806238,2.83592281801225,65.3278304944109,96.68039850001736,84.84868788008367,27.316956416780737
ci_cap_battery_discharger,0.0,0.0,0.016289141261231505,0.012129729176341178,2.894401301916164,66.67493079621768,98.67400816090019,86.59832034432033,27.880248966908148
ci_cap_onwind,0.0,5128.92721923033,3139.0093570531462,3139.006716872614,3185.7164676103953,3212.7195893574135,2934.0908239471287,2534.754983046213,1628.1146952544111
ci_cap_solar,0.0,2709.4405232190106,2194.865949071897,2194.8641622998234,2132.3425754147484,2127.4430916295432,1912.1968609400403,1552.28894311654,682.9374052266836
ci_capital_cost_adv_geothermal,0.0,0.0,724.3491881008956,601.7757676399522,1130.7477353604081,5871.582924591512,125918298.40902838,298721131.8459784,670656677.6559553
ci_capital_cost_allam_ccs,0.0,0.0,290.85376383481605,229.8840712960935,50224997.305745214,111742764.22670484,130196190.64391519,109256326.31328085,59243490.261153735
